"matricula","agno_fabricacion","esta_activo","capacidad_maxima","fabricante","codigo_modelo","nombre_modelo","id_avion"
"N101DQ",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",0
"N101DU",2018,"esta_activo",109,"AirbusIndustries","BD-500-1A10","AirbusIndustries BD-500-1A10",1
"N101HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",2
"N101NN",2013,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",3
"N102DN",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",4
"N102DU",2018,"esta_activo",109,"AirbusIndustries","BD-500-1A10","AirbusIndustries BD-500-1A10",5
"N102HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",6
"N102NN",2013,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",7
"N102UW",1998,"esta_activo",150,"Airbus","A320-214","Airbus A320-214",8
"N103DU",2018,"esta_activo",109,"AirbusIndustries","BD-500-1A10","AirbusIndustries BD-500-1A10",9
"N103DY",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",10
"N103HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",11
"N103NN",2013,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",12
"N103SY",2014,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",13
"N103US",1999,"esta_activo",150,"Airbus","A320-214","Airbus A320-214",14
"N104DN",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",15
"N104DU",2018,"esta_activo",109,"AirbusIndustries","BD-500-1A10","AirbusIndustries BD-500-1A10",16
"N104HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",17
"N104NN",2013,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",18
"N104UW",1999,"esta_activo",150,"Airbus","A320-214","Airbus A320-214",19
"N105DX",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",20
"N105HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",21
"N105NN",2013,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",22
"N105SY",2014,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",23
"N105UW",1999,"esta_activo",150,"Airbus","A320-214","Airbus A320-214",24
"N106DN",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",25
"N106HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",26
"N106NN",2014,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",27
"N106SY",2014,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",28
"N107DN",2020,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",29
"N107HQ",2007,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",30
"N107NN",2014,"esta_activo",102,"Airbus","A321-231","Airbus A321-231",31
"N107SY",2014,"esta_activo",76,"Embraer","ERJ170-200LR","Embraer ERJ170-200LR",32
"N107US",1999,"esta_activo",150,"Airbus","A320-214","Airbus A320-214",33
"N108DN",2021,"esta_activo",191,"AirbusIndustries","A321-211","AirbusIndustries A321-211",34
