"hora_completa","hora","minuto","segundo","franja_horaria","es_hora_punta","id_hora"
"00:01:00","00","01","00","00:00 - 04:59","no_es_hora_punta",0
"00:02:00","00","02","00","00:00 - 04:59","no_es_hora_punta",1
"00:05:00","00","05","00","00:00 - 04:59","no_es_hora_punta",2
"00:07:00","00","07","00","00:00 - 04:59","no_es_hora_punta",3
"00:08:00","00","08","00","00:00 - 04:59","no_es_hora_punta",4
"00:09:00","00","09","00","00:00 - 04:59","no_es_hora_punta",5
"00:10:00","00","10","00","00:00 - 04:59","no_es_hora_punta",6
"00:13:00","00","13","00","00:00 - 04:59","no_es_hora_punta",7
"00:15:00","00","15","00","00:00 - 04:59","no_es_hora_punta",8
"00:16:00","00","16","00","00:00 - 04:59","no_es_hora_punta",9
"00:17:00","00","17","00","00:00 - 04:59","no_es_hora_punta",10
"00:18:00","00","18","00","00:00 - 04:59","no_es_hora_punta",11
"00:19:00","00","19","00","00:00 - 04:59","no_es_hora_punta",12
"00:20:00","00","20","00","00:00 - 04:59","no_es_hora_punta",13
"00:21:00","00","21","00","00:00 - 04:59","no_es_hora_punta",14
"00:22:00","00","22","00","00:00 - 04:59","no_es_hora_punta",15
"00:23:00","00","23","00","00:00 - 04:59","no_es_hora_punta",16
"00:24:00","00","24","00","00:00 - 04:59","no_es_hora_punta",17
"00:25:00","00","25","00","00:00 - 04:59","no_es_hora_punta",18
"00:27:00","00","27","00","00:00 - 04:59","no_es_hora_punta",19
"00:28:00","00","28","00","00:00 - 04:59","no_es_hora_punta",20
"00:29:00","00","29","00","00:00 - 04:59","no_es_hora_punta",21
"00:30:00","00","30","00","00:00 - 04:59","no_es_hora_punta",22
"00:31:00","00","31","00","00:00 - 04:59","no_es_hora_punta",23
"00:32:00","00","32","00","00:00 - 04:59","no_es_hora_punta",24
"00:33:00","00","33","00","00:00 - 04:59","no_es_hora_punta",25
"00:34:00","00","34","00","00:00 - 04:59","no_es_hora_punta",26
"00:35:00","00","35","00","00:00 - 04:59","no_es_hora_punta",27
"00:37:00","00","37","00","00:00 - 04:59","no_es_hora_punta",28
"00:38:00","00","38","00","00:00 - 04:59","no_es_hora_punta",29
"00:39:00","00","39","00","00:00 - 04:59","no_es_hora_punta",30
"00:40:00","00","40","00","00:00 - 04:59","no_es_hora_punta",31
"00:42:00","00","42","00","00:00 - 04:59","no_es_hora_punta",32
"00:43:00","00","43","00","00:00 - 04:59","no_es_hora_punta",33
"00:44:00","00","44","00","00:00 - 04:59","no_es_hora_punta",34
"00:45:00","00","45","00","00:00 - 04:59","no_es_hora_punta",35
"00:47:00","00","47","00","00:00 - 04:59","no_es_hora_punta",36
"00:49:00","00","49","00","00:00 - 04:59","no_es_hora_punta",37
"00:50:00","00","50","00","00:00 - 04:59","no_es_hora_punta",38
"00:53:00","00","53","00","00:00 - 04:59","no_es_hora_punta",39
"00:54:00","00","54","00","00:00 - 04:59","no_es_hora_punta",40
"00:55:00","00","55","00","00:00 - 04:59","no_es_hora_punta",41
