"nombre_operadora","esta_activo","codigo_IATA","id_operadora"
"Alaska Airlines Inc.","esta_activo","AS",0
"Allegiant Air","esta_activo","G4",1
"American Airlines Inc.","esta_activo","AA",2
"Delta Air Lines Inc.","esta_activo","DL",3
"Envoy Air","esta_activo","MQ",4
"Frontier Airlines Inc.","esta_activo","F9",5
"Hawaiian Airlines Inc.","esta_activo","HA",6
"JetBlue Airways","esta_activo","B6",7
"PSA Airlines Inc.","esta_activo","OH",8
"Republic Airline","esta_activo","YX",9
"SkyWest Airlines Inc.","esta_activo","OO",10
"Southwest Airlines Co.","esta_activo","WN",11
"Spirit Air Lines","esta_activo","NK",12
"United Air Lines Inc.","esta_activo","UA",13
