"id_avion","id_hora","id_fecha","id_aerolinea","id_operadora","id_aeropuerto_origen","id_aeropuerto_destino","codigo_vuelo","tiempo_estimado_minutos","tiempo_real_minutos","retardo_minutos","distancia_km"
701,7,3,4,5,84,194,"F917340",226,211,0,2488.03964
0,31,10,2,3,172,17,"DL8570",224,207,0,2811.51698
0,41,16,2,3,84,17,"DL3020",170,151,0,1929.5986599999999
701,45,0,4,5,172,85,"F916500",166,152,0,1697.8537
615,63,8,0,0,105,283,"AS2100",214,211,0,2467.11822
615,74,0,0,0,14,283,"AS1000",206,225,19,2330.32432
701,77,23,4,5,41,194,"F919530",197,170,0,1816.94486
545,83,29,7,7,293,162,"B64040",240,225,0,2571.72532
3655,113,3,8,10,214,84,"OO52580",160,150,0,1543.35706
539,113,5,3,4,19,228,"MQ34610",158,162,4,1572.32518
539,113,16,3,4,31,239,"MQ35920",146,156,10,1404.95382
539,113,21,3,4,39,228,"MQ35930",179,154,0,1395.29778
2695,113,25,13,12,90,111,"NK4120",187,171,0,1813.7261799999999
456,113,30,12,11,319,84,"WN29780",110,101,0,1028.36826
701,114,28,4,5,75,194,"F917140",142,137,0,1218.27038
456,118,8,12,11,172,296,"WN19320",95,89,0,638.90798
3655,118,12,8,10,250,84,"OO46520",156,144,0,1371.15768
3655,118,13,8,10,250,84,"OO46520",156,165,9,1371.15768
3655,118,29,8,10,287,84,"OO51260",113,93,0,832.02878
539,122,25,3,4,193,206,"MQ34240",186,171,0,2013.28434
701,123,20,4,5,75,271,"F928260",156,153,0,1414.60986
701,123,27,4,5,75,271,"F928260",156,134,0,1414.60986
701,123,30,4,5,75,271,"F928260",156,,,1414.60986
2248,124,10,9,8,255,81,"OH53540",99,99,0,572.92504
2,126,6,10,9,90,183,"YX44770",122,111,0,807.88868
2,127,26,10,9,224,228,"YX44210",130,128,0,1115.27262
2695,128,23,13,12,39,194,"NK1850",204,212,8,1804.07014
545,133,19,7,7,39,162,"B62170",83,65,0,300.94658
55,133,20,14,13,239,174,"UA19120",92,94,2,595.4558
2248,135,13,9,8,63,81,"OH56140",83,76,0,498.8954
2695,138,13,13,12,194,111,"NK38890",67,51,0,284.85318
2695,143,5,13,12,238,206,"NK3280",175,154,0,1630.26142
2695,143,7,13,12,206,39,"NK8720",202,183,0,2024.54972
55,143,8,14,13,267,84,"UA6990",138,138,0,1293.90936
2248,143,12,9,8,48,81,"OH50340",84,89,5,476.36464
0,143,14,2,3,85,17,"DL4010",125,117,0,1176.42754
701,143,16,4,5,238,194,"F924150",172,175,3,1385.64174
2,143,16,10,9,59,228,"YX46000",75,87,12,315.43064
539,143,17,3,4,260,239,"MQ35030",155,154,0,1437.14062
2,143,17,10,9,59,228,"YX46000",75,75,0,315.43064
539,143,19,3,4,215,228,"MQ38420",57,55,0,173.80872
2695,143,21,13,12,217,90,"NK3080",105,91,0,849.73152
55,143,26,14,13,267,84,"UA6990",138,123,0,1293.90936
0,143,29,2,3,85,17,"DL4010",125,123,0,1176.42754
0,143,30,2,3,274,17,"DL10730",138,150,12,1406.56316
2695,148,2,13,12,90,194,"NK16580",168,160,0,1540.13838
456,148,5,12,11,150,304,"WN5120",80,68,0,630.86128
2695,148,26,13,12,85,206,"NK8110",167,162,0,1804.07014
2695,148,28,13,12,174,149,"NK3140",188,187,0,2219.27986
2248,155,3,9,8,205,81,"OH52330",115,108,0,653.39204
2695,158,3,13,12,218,194,"NK16950",105,97,0,886.74634
2695,158,6,13,12,218,206,"NK2230",108,113,5,1086.3045
545,158,10,7,7,162,206,"B622930",189,177,0,1752.57126
2695,158,22,13,12,90,206,"NK7370",189,177,0,1842.6942999999999
3655,158,23,8,10,260,285,"OO54640",118,115,0,743.51508
3655,158,28,8,10,89,84,"OO47000",133,131,0,947.90126
539,159,11,3,4,143,85,"MQ33370",98,91,0,741.90574
2248,162,15,9,8,128,81,"OH50740",106,124,18,843.29416
456,163,10,12,11,139,223,"WN10200",50,37,0,160.934
456,163,18,12,11,139,223,"WN10200",50,37,0,160.934
2695,165,27,13,12,174,172,"NK6930",69,64,0,379.80424
3,172,6,1,2,162,285,"AA760",407,396,0,4161.75324
3,172,26,1,2,162,285,"AA760",402,415,13,4161.75324
3,173,1,1,2,174,162,"AA1180",316,311,0,3983.1165
701,173,1,4,5,85,84,"F933650",133,128,0,1031.58694
701,173,2,4,5,172,84,"F923500",122,120,0,1010.66552
13,173,2,11,10,191,84,"OO57940",118,100,0,906.05842
3,173,4,1,2,174,162,"AA1180",316,328,12,3983.1165
0,173,4,2,3,217,90,"DL14610",120,183,63,849.73152
2248,173,4,9,8,12,81,"OH51900",99,113,14,511.77012
701,173,5,4,5,317,194,"F920130",177,177,0,1441.96864
701,173,6,4,5,39,85,"F936010",284,314,30,2513.78908
539,173,6,3,4,66,228,"MQ39420",94,74,0,476.36464
13,173,6,11,10,224,84,"OO47510",117,112,0,796.6233
0,173,7,2,3,235,17,"DL13760",112,98,0,877.0903
2,173,7,10,9,304,228,"YX47500",84,87,3,415.20972
2248,173,8,9,8,74,81,"OH51530",70,77,7,400.72566
3655,173,8,8,10,274,285,"OO57670",257,243,0,2385.0418799999998
456,173,9,12,11,139,158,"WN7690",65,56,0,347.61744
2695,173,10,13,12,271,39,"NK5070",190,196,6,2010.06566
615,173,13,0,0,174,236,"AS11110",156,142,0,1342.18956
0,173,13,2,3,149,17,"DL10690",118,118,0,1108.83526
2,173,13,10,9,244,261,"YX45310",80,71,0,527.86352
2695,173,14,13,12,217,90,"NK3080",107,100,0,849.73152
2248,173,14,9,8,53,81,"OH50620",80,79,0,440.95916
2,173,14,10,9,66,238,"YX48010",91,81,0,653.39204
55,173,15,14,13,193,84,"UA23910",119,102,0,857.77822
55,173,16,14,13,244,149,"UA24910",206,170,0,1797.63278
3,173,17,1,2,162,174,"AA1710",381,407,26,3983.1165
3655,173,17,8,10,296,174,"OO53900",100,99,0,600.28382
456,173,17,12,11,139,158,"WN7690",65,55,0,347.61744
3655,173,18,8,10,107,174,"OO54260",72,70,0,336.35206
2248,173,20,9,8,53,81,"OH50620",80,79,0,440.95916
2392,173,21,5,10,277,228,"OO57230",75,34,0,135.18456
0,173,22,2,3,294,17,"DL9070",215,209,0,2558.8506
701,173,22,4,5,271,228,"F937990",200,219,19,1802.4608
2392,173,22,5,10,277,228,"OO57230",75,42,0,135.18456
55,173,23,14,13,228,271,"UA20910",179,186,7,1802.4608
456,173,23,12,11,168,139,"WN8270",55,42,0,262.32242
2392,173,24,5,10,277,228,"OO57230",75,43,0,135.18456
539,173,26,3,4,225,206,"MQ34970",206,200,0,2241.81062
13,173,26,11,10,224,84,"OO47510",117,107,0,796.6233
3655,173,28,8,10,191,84,"OO57940",118,176,58,906.05842
701,173,29,4,5,75,111,"F910470",156,149,0,1499.90488
539,173,29,3,4,130,206,"MQ38060",117,,,1025.14958
2248,173,29,9,8,74,81,"OH51530",70,73,3,400.72566
3,173,30,1,2,174,162,"AA1180",329,320,0,3983.1165
2248,174,7,9,8,207,81,"OH56460",128,105,0,1020.32156
0,175,17,2,3,255,17,"DL10230",172,150,0,1453.23402
2,176,4,10,9,63,183,"YX46770",105,83,0,674.31346
13,178,4,11,10,224,84,"OO47510",117,133,16,796.6233
456,178,14,12,11,236,222,"WN9860",105,97,0,873.87162
539,178,27,3,4,75,206,"MQ35450",160,151,0,1525.65432
2,180,24,10,9,261,81,"YX44940",76,63,0,365.32018
539,181,8,3,4,144,81,"MQ34500",111,100,0,986.5254199999999
2248,181,19,9,8,80,81,"OH52610",92,86,0,629.25194
2695,182,11,13,12,65,271,"NK4990",122,108,0,965.604
2695,183,0,13,12,149,111,"NK9320",142,130,0,1554.62244
539,183,10,3,4,18,85,"MQ41870",189,169,0,1461.28072
2695,183,18,13,12,85,111,"NK7710",165,143,0,1800.85146
2248,183,21,9,8,304,81,"OH50760",126,,,1157.11546
615,185,11,0,0,267,283,"AS10170",128,105,0,907.66776
2695,185,15,13,12,174,149,"NK3140",188,187,0,2219.27986
55,188,0,14,13,283,174,"UA2790",166,161,0,1535.31036
55,188,2,14,13,193,149,"UA18980",134,114,0,1034.80562
3655,188,5,8,10,6,285,"OO53130",79,69,0,402.335
3655,188,11,8,10,250,285,"OO58110",145,155,10,997.7908
615,188,15,0,0,273,283,"AS12450",188,190,2,1689.807
13,188,19,11,10,273,174,"OO47230",66,66,0,175.41806
3655,188,20,8,10,6,285,"OO53130",79,85,6,402.335
13,188,24,11,10,273,174,"OO47230",66,64,0,175.41806
539,190,18,3,4,129,228,"MQ36730",130,119,0,947.90126
2695,191,9,13,12,90,183,"NK8310",104,97,0,807.88868
3655,193,6,8,10,276,285,"OO55320",77,78,1,421.64708
701,193,7,4,5,261,17,"F947970",104,109,5,572.92504
456,193,12,12,11,50,273,"WN10900",350,345,0,3693.4353
456,193,16,12,11,50,273,"WN10900",350,344,0,3693.4353
3655,193,25,8,10,214,174,"OO47170",88,72,0,428.08444
2695,193,29,13,12,90,271,"NK2240",180,165,0,1744.52456
2695,198,1,13,12,103,111,"NK6910",188,180,0,1713.9471
456,198,6,12,11,66,37,"WN15880",85,92,7,542.34758
539,200,1,3,4,1,85,"MQ36470",61,56,0,254.27572
2248,201,16,9,8,152,81,"OH50220",82,71,0,513.37946
545,203,0,7,7,162,41,"B68380",227,237,10,2536.31984
2392,203,4,5,10,18,228,"OO59570",87,79,0,257.4944
545,203,15,7,7,162,293,"B622030",226,209,0,2571.72532
539,203,15,3,4,209,85,"MQ35340",148,161,13,1112.05394
2695,203,17,13,12,183,90,"NK6440",117,108,0,807.88868
2248,203,18,9,8,142,81,"OH56780",75,79,4,376.58556
2,203,18,10,9,39,304,"YX43860",208,197,0,1684.97898
3655,203,21,8,10,20,228,"OO46280",131,147,16,862.60624
0,203,23,2,3,17,183,"DL4040",133,123,0,1226.31708
2,203,30,10,9,39,304,"YX44560",208,223,15,1684.97898
